player_id,team_id,label,is_active
8478109,COL,V. Olofsson,0
8482947,COL,Z. Bardakov,1
8477454,DAL,A. Erne,0
8475755,DAL,A. Petrovic,0
8476278,DAL,C. Blackwell,0
8479193,DAL,C. DeSmith,0
8476902,DAL,E. Lindell,0
8480950,DAL,I. Lyubushkin,1
8473994,DAL,J. Benn,0
8484829,DAL,J. Hryckowian,0
8479979,DAL,J. Oettinger,0
8480027,DAL,J. Robertson,0
8478476,DAL,K. Capobianco,0
8482145,DAL,M. Bourque,0
8475168,DAL,M. Duchene,0
8480036,DAL,M. Heiskanen,0
8478420,DAL,M. Rantanen,0
8480878,DAL,N. Lundkvist,0
8480840,DAL,O. Bäck,0
8476889,DAL,R. Faksa,0
8478449,DAL,R. Hintz,0
8479351,DAL,S. Steel,0
8481581,DAL,T. Harley,0
8482740,DAL,W. Johnston,0
8477429,DET,A. Copp,0
8479337,DET,A. DeBrincat,0
8481607,DET,A. Johansson,0
8484223,DET,A. Sandin-Pellikka,0
8475279,DET,B. Chiarot,0
8475660,DET,C. Talbot,0
8477946,DET,D. Larkin,0
8484471,DET,E. Finnie,0
8476979,DET,E. Gustafsson,0
8481725,DET,E. Soderblom,0
8480879,DET,J. Bernard-Docker,0
8477456,DET,J. Compher,0
8476434,DET,J. Gibson,0
8474037,DET,J. van Riemsdyk,0
8482078,DET,L. Raymond,0
8478891,DET,M. Appleton,0
8483464,DET,M. Kasper,0
8479992,DET,M. Rasmussen,0
8481542,DET,M. Seider,0
8474141,DET,P. Kane,0
8474612,DET,T. Hamonic,0
8478233,EDM,A. Mangiapane,0
8478971,EDM,C. Ingram,0
8477508,EDM,C. Lazar,0
8478402,EDM,C. McDavid,0
8477498,EDM,D. Nurse,0
8480803,EDM,E. Bouchard,0
8483455,EDM,I. Howard,0
8478458,EDM,J. Roslovic,0
8484509,EDM,J. Samanski,0
8478013,EDM,J. Walman,0
8477953,EDM,K. Kapanen,0
8477934,EDM,L. Draisaitl,0
8475218,EDM,M. Ekholm,0
8477406,EDM,M. Janmark,0
8483512,EDM,M. Savoie,0
8476454,EDM,R. Nugent-Hopkins,0
8481056,EDM,S. Stastney,0
8480834,EDM,T. Emberson,0
8479365,EDM,T. Frederic,0
8477465,EDM,T. Jarry,0
8481617,EDM,V. Podkolzin,0
8475786,EDM,Z. Hyman,0
8477932,FLA,A. Ekblad,0
8478421,FLA,A. Greer,0
8482113,FLA,A. Lundell,0
8473419,FLA,B. Marchand,0
8481655,FLA,C. Schwindt,0
8477409,FLA,C. Verhaeghe,0
8482131,FLA,D. Sebrango,0
8480193,FLA,D. Tarasov,1
8480185,FLA,E. Luostarinen,0
8478542,FLA,E. Rodrigues,0
8478055,FLA,G. Forsling,0
8480003,FLA,J. Boqvist,0
8473507,FLA,J. Petry,0
8479316,FLA,L. Kunin,0
8484933,FLA,M. Hovorka,0
8482713,FLA,M. Samoskevich,1
8479314,FLA,M. Tkachuk,0
8478859,FLA,N. Mikkola,0
8477935,FLA,S. Bennett,0
8475683,FLA,S. Bobrovsky,1
8477933,FLA,S. Reinhart,0
8483771,FLA,S. Vilmanis,0
8481600,FLA,T. Bjornfot,0
8484304,FLA,U. Balinskis,0
8476341,LAK,A. Forsberg,0
8477960,LAK,A. Kempe,0
8471685,LAK,A. Kopitar,0
8483808,LAK,A. Kuzmenko,1
8482155,LAK,A. Laferriere,0
8481532,LAK,A. Turcotte,0
8482730,LAK,B. Clarke,0
8475208,LAK,B. Dumoulin,0
8476879,LAK,C. Ceci,0
8470621,LAK,C. Perry,0
8474563,LAK,D. Doughty,0
8475311,LAK,D. Kuemper,0
8476469,LAK,J. Armia,0
8476441,LAK,J. Edmundson,0
8482408,LAK,J. Malott,0
8479421,LAK,J. Moverare,0
8477942,LAK,K. Fiala,0
8479998,LAK,M. Anderson,0
8482124,LAK,Q. Byfield,0
8482726,LAK,S. Helenius,0
8479675,LAK,T. Moore,0
8483406,LAK,T. Ward,0
8477998,LAK,W. Foegele,0
8482122,MIN,B. Faber,0
8477361,MIN,C. Petersen,0
8482094,MIN,D. Hunt,0
8483525,MIN,D. Yurov,1
8483460,MIN,D.Jiricek,0
8479406,MIN,F. Gustavsson,0
8478493,MIN,J. Eriksson Ek,0
8478136,MIN,J. Middleton,0
